date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:12	1108937/1108937	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:11%20GMT	https://vimeo.com/jp/live	C:/My%20Web%20Sites/Demo/vimeo.com/jp/live.html	(from https://vimeo.com/live)
10:24:12	1105876/1105876	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:11%20GMT	https://vimeo.com/pt-br/live	C:/My%20Web%20Sites/Demo/vimeo.com/pt-br/live.html	(from https://vimeo.com/live)
10:24:13	1107325/1107325	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:12%20GMT	https://vimeo.com/ko/live	C:/My%20Web%20Sites/Demo/vimeo.com/ko/live.html	(from https://vimeo.com/live)
10:24:14	133433/133433	---M-Z	200	added ('OK')	text/css	etag:%2220939-56a49f1a78dc0%22	https://f.vimeocdn.com/styles/css_opt/live_landing_combined.min.css?75d1b0b2	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/styles/css_opt/live_landing_combined.min54ee.css	(from https://vimeo.com/live)
10:24:14	79813/79813	---M-Z	200	added ('OK')	text/css	etag:%22137c5-56b6327125340%22	https://f.vimeocdn.com/styles/css_opt/create_live_combined.min.css?5c69f57e	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/styles/css_opt/create_live_combined.min3611.css	(from https://vimeo.com/live)
10:24:14	13357/13357	---M-Z	200	added ('OK')	text/css	etag:%22342d-565d3b1614500%22	https://f.vimeocdn.com/styles/css_opt/modern/iris/pages/live/live_premium_grid.min.css?3e436cba	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/styles/css_opt/modern/iris/pages/live/live_premium_grid.mincbcd.css	(from https://vimeo.com/live)
10:24:14	1308/1308	---M--	200	added ('OK')	image/png	etag:%2251c-5696bcd663d00%22	https://f.vimeocdn.com/images_v6/marketing/live/facebookLive.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/marketing/live/facebookLive.png	(from https://vimeo.com/live)
10:24:15	4577/4577	---M--	200	added ('OK')	image/png	etag:%2211e1-5696bcd757f40%22	https://f.vimeocdn.com/images_v6/marketing/live/twitterPeriscope.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/marketing/live/twitterPeriscope.png	(from https://vimeo.com/live)
10:24:15	3062/3062	---M--	200	added ('OK')	image/png	etag:%22bf6-5696bcd757f40%22	https://f.vimeocdn.com/images_v6/marketing/live/youtube.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/marketing/live/youtube.png	(from https://vimeo.com/live)
10:24:15	1690/1690	---M--	200	added ('OK')	image/png	etag:%2269a-5696bcd757f40%22	https://f.vimeocdn.com/images_v6/marketing/live/twitch.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/marketing/live/twitch.png	(from https://vimeo.com/live)
